player_id,session,elo
11,S4D11,916.8
12,S1D1,1000
12,S1D2,1000
12,S1D3,1000
12,S1D4,1000
12,S1D5,1000
12,S1D6,1000
12,S1D7,1000
12,S1D8,1000
12,S1D9,1000
12,S1D10,1000
12,S1D11,1000
12,S2D1,1000
12,S2D2,1000
12,S2D3,1000
12,S2D4,1000
12,S2D5,1000
12,S2D6,1000
12,S2D7,1000
12,S2D8,1000
12,S2D9,1000
12,S2D10,1000
12,S2D11,1000
12,S2D12,1000
12,S3D1,1000
12,S3D2,1000
12,S3D3,1000
12,S3D4,1000
12,S3D5,1000
12,S3D6,1000
12,S3D7,1000
12,S3D8,1000
12,S3D9,1000
12,S3D10,1000
12,S3D11,1000
12,S3D12,1000
12,S4D1,1035.2
12,S4D2,1035.2
12,S4D3,1035.2
12,S4D4,1035.2
12,S4D5,1035.2
12,S4D6,1035.2
12,S4D7,1035.2
12,S4D8,1035.2
12,S4D9,1035.2
12,S4D10,1035.2
12,S4D11,1035.2
24,S1D1,1000
24,S1D2,1000
24,S1D3,984
24,S1D4,939.2
24,S1D5,932.8
24,S1D6,958.4
24,S1D7,958.4
24,S1D8,958.4
24,S1D9,958.4
24,S1D10,958.4
24,S1D11,958.4
24,S2D1,958.4
24,S2D2,958.4
24,S2D3,958.4
24,S2D4,958.4
24,S2D5,971.2
24,S2D6,945.6
24,S2D7,945.6
24,S2D8,945.6
24,S2D9,945.6
24,S2D10,945.6
24,S2D11,945.6
24,S2D12,945.6
24,S3D1,945.6
24,S3D2,945.6
24,S3D3,945.6
24,S3D4,945.6
24,S3D5,945.6
24,S3D6,945.6
24,S3D7,945.6
24,S3D8,961.6
24,S3D9,961.6
24,S3D10,961.6
24,S3D11,961.6
24,S3D12,961.6
24,S4D1,961.6
24,S4D2,961.6
24,S4D3,961.6
24,S4D4,961.6
24,S4D5,961.6
24,S4D6,961.6
24,S4D7,961.6
24,S4D8,961.6
24,S4D9,961.6
24,S4D10,961.6
24,S4D11,961.6
25,S1D1,1000
25,S1D2,1000
25,S1D3,1000
25,S1D4,1000
25,S1D5,1000
25,S1D6,1000
25,S1D7,1000
25,S1D8,1000
25,S1D9,1000
25,S1D10,1000
25,S1D11,1000
25,S2D1,1000
25,S2D2,1000
25,S2D3,1000
25,S2D4,1000
25,S2D5,974.4
25,S2D6,974.4
25,S2D7,968
25,S2D8,968
25,S2D9,974.4
25,S2D10,974.4
25,S2D11,974.4
25,S2D12,974.4
25,S3D1,974.4
25,S3D2,974.4
25,S3D3,974.4
25,S3D4,974.4
25,S3D5,974.4
25,S3D6,974.4
25,S3D7,974.4
25,S3D8,974.4
25,S3D9,974.4
25,S3D10,974.4
25,S3D11,974.4
25,S3D12,974.4
25,S4D1,974.4
25,S4D2,974.4
25,S4D3,974.4
25,S4D4,974.4
25,S4D5,974.4
25,S4D6,974.4
25,S4D7,974.4
25,S4D8,974.4
25,S4D9,974.4
25,S4D10,974.4
25,S4D11,974.4
22,S1D1,1000
22,S1D2,1000
22,S1D3,1000
22,S1D4,1000
22,S1D5,1000
22,S1D6,1000
22,S1D7,1000
22,S1D8,1000
22,S1D9,1000
22,S1D10,1000
22,S1D11,1000
22,S2D1,1000
22,S2D2,1000
22,S2D3,1000
22,S2D4,1000
22,S2D5,1000
22,S2D6,1000
22,S2D7,1000
22,S2D8,1000
22,S2D9,1000
22,S2D10,1000
22,S2D11,1000
22,S2D12,1000
22,S3D1,1000
22,S3D2,1000
22,S3D3,1000
22,S3D4,1000
22,S3D5,1000
22,S3D6,1000
22,S3D7,1000
22,S3D8,1000
22,S3D9,1000
22,S3D10,1000
22,S3D11,1000
22,S3D12,1000
22,S4D1,1000
22,S4D2,1000
22,S4D3,1000
22,S4D4,1035.2
22,S4D5,1035.2
22,S4D6,1035.2
22,S4D7,1035.2
22,S4D8,1035.2
22,S4D9,1035.2
22,S4D10,1035.2
22,S4D11,1035.2
26,S1D1,1000
26,S1D2,1000
26,S1D3,1000
26,S1D4,1000
26,S1D5,1000
26,S1D6,1016
26,S1D7,1048
26,S1D8,1044.8
26,S1D9,1025.6
26,S1D10,1057.6
26,S1D11,1057.6
26,S2D1,1057.6
26,S2D2,1115.2
26,S2D3,1115.2
26,S2D4,1076.8
26,S2D5,1076.8
26,S2D6,1076.8
26,S2D7,1076.8
26,S2D8,1076.8
26,S2D9,1076.8
26,S2D10,1076.8
26,S2D11,1076.8
26,S2D12,1076.8
26,S3D1,1076.8
26,S3D2,1076.8
26,S3D3,1076.8
26,S3D4,1076.8
26,S3D5,1076.8
26,S3D6,1076.8
26,S3D7,1076.8
26,S3D8,1076.8
26,S3D9,1076.8
26,S3D10,1076.8
26,S3D11,1076.8
26,S3D12,1076.8
26,S4D1,1076.8
26,S4D2,1076.8
26,S4D3,1076.8
26,S4D4,1076.8
26,S4D5,1076.8
26,S4D6,1076.8
26,S4D7,1076.8
26,S4D8,1076.8
26,S4D9,1076.8
26,S4D10,1076.8
26,S4D11,1076.8
3,S1D1,1016
3,S1D2,1000
3,S1D3,968
3,S1D4,958.4
3,S1D5,980.8
3,S1D6,980.8
3,S1D7,980.8
3,S1D8,980.8
3,S1D9,980.8
3,S1D10,990.4
3,S1D11,980.8
3,S2D1,980.8
3,S2D2,958.4
3,S2D3,968
3,S2D4,1003.2
3,S2D5,1009.6
3,S2D6,958.4
3,S2D7,955.2
3,S2D8,955.2
3,S2D9,929.6
3,S2D10,929.6
3,S2D11,958.4
3,S2D12,1000
3,S3D1,974.4
3,S3D2,1012.8
3,S3D3,1032
3,S3D4,1028.8
3,S3D5,996.8
3,S3D6,1032
3,S3D7,1035.2
3,S3D8,1019.2
3,S3D9,1025.6
3,S3D10,993.6
3,S3D11,993.6
3,S3D12,1028.8
3,S4D1,1057.6
3,S4D2,1054.4
3,S4D3,1054.4
3,S4D4,1048
3,S4D5,1025.6
3,S4D6,1025.6
3,S4D7,1041.6
3,S4D8,993.6
3,S4D9,968
3,S4D10,980.8
3,S4D11,993.6
27,S1D1,1000
27,S1D2,1000
27,S1D3,1000
27,S1D4,1000
27,S1D5,1000
27,S1D6,1000
27,S1D7,1000
27,S1D8,1000
27,S1D9,1000
27,S1D10,1000
27,S1D11,1000
27,S2D1,1000
27,S2D2,1000
27,S2D3,1000
27,S2D4,1000
27,S2D5,1000
27,S2D6,1000
27,S2D7,1000
27,S2D8,974.4
27,S2D9,974.4
27,S2D10,974.4
27,S2D11,974.4
27,S2D12,964.8
27,S3D1,964.8
27,S3D2,923.2
27,S3D3,923.2
27,S3D4,923.2
27,S3D5,923.2
27,S3D6,923.2
27,S3D7,923.2
27,S3D8,923.2
27,S3D9,923.2
27,S3D10,923.2
27,S3D11,923.2
27,S3D12,923.2
27,S4D1,923.2
27,S4D2,923.2
27,S4D3,923.2
27,S4D4,923.2
27,S4D5,923.2
27,S4D6,923.2
27,S4D7,923.2
27,S4D8,923.2
27,S4D9,923.2
27,S4D10,923.2
27,S4D11,923.2
8,S1D1,1000
8,S1D2,1000
8,S1D3,1000
8,S1D4,1000
8,S1D5,1000
8,S1D6,1000
8,S1D7,1000
8,S1D8,1000
8,S1D9,1000
8,S1D10,1000
8,S1D11,1000
8,S2D1,1000
8,S2D2,1000
8,S2D3,1000
8,S2D4,1000
8,S2D5,1000
8,S2D6,1000
8,S2D7,1000
8,S2D8,1000
8,S2D9,1000
8,S2D10,1000
8,S2D11,968
8,S2D12,968
8,S3D1,993.6
8,S3D2,993.6
8,S3D3,1016
8,S3D4,1016
8,S3D5,987.2
8,S3D6,1009.6
8,S3D7,952
8,S3D8,952
8,S3D9,939.2
8,S3D10,939.2
8,S3D11,939.2
8,S3D12,920
8,S4D1,920
8,S4D2,990.4
8,S4D3,964.8
8,S4D4,942.4
8,S4D5,923.2
8,S4D6,942.4
8,S4D7,894.4
8,S4D8,920
8,S4D9,923.2
8,S4D10,945.6
8,S4D11,945.6
23,S1D1,1000
23,S1D2,1000
23,S1D3,1000
23,S1D4,1000
23,S1D5,1000
23,S1D6,1000
23,S1D7,1000
23,S1D8,1000
23,S1D9,1000
23,S1D10,1000
23,S1D11,1000
23,S2D1,1000
23,S2D2,1000
23,S2D3,1000
23,S2D4,1000
23,S2D5,1000
23,S2D6,1000
23,S2D7,1000
23,S2D8,1000
23,S2D9,1000
23,S2D10,1000
23,S2D11,1000
23,S2D12,1000
23,S3D1,1000
23,S3D2,1000
23,S3D3,1000
23,S3D4,1000
23,S3D5,1000
23,S3D6,1000
23,S3D7,1000
23,S3D8,1000
23,S3D9,1000
23,S3D10,1000
23,S3D11,1000
23,S3D12,1000
23,S4D1,1000
23,S4D2,1000
23,S4D3,1000
23,S4D4,987.2
23,S4D5,987.2
23,S4D6,929.6
23,S4D7,977.6
23,S4D8,977.6
23,S4D9,1019.2
23,S4D10,1022.4
23,S4D11,1022.4
28,S1D1,1000
28,S1D2,1000
28,S1D3,1000
28,S1D4,1000
28,S1D5,1000
28,S1D6,1000
28,S1D7,971.2
28,S1D8,952
28,S1D9,984
28,S1D10,993.6
28,S1D11,993.6
28,S2D1,1003.2
28,S2D2,1003.2
28,S2D3,1035.2
28,S2D4,1089.6
28,S2D5,1112
28,S2D6,1112
28,S2D7,1105.6
28,S2D8,1105.6
28,S2D9,1102.4
28,S2D10,1102.4
28,S2D11,1102.4
28,S2D12,1102.4
28,S3D1,1102.4
28,S3D2,1102.4
28,S3D3,1102.4
28,S3D4,1102.4
28,S3D5,1102.4
28,S3D6,1102.4
28,S3D7,1124.8
28,S3D8,1124.8
28,S3D9,1048
28,S3D10,1048
28,S3D11,1048
28,S3D12,1048
28,S4D1,1048
28,S4D2,1048
28,S4D3,1048
28,S4D4,1048
28,S4D5,1048
28,S4D6,1048
28,S4D7,1048
28,S4D8,1048
28,S4D9,1048
28,S4D10,1048
28,S4D11,1048
14,S1D1,1000
14,S1D2,952
14,S1D3,945.6
14,S1D4,945.6
14,S1D5,936
14,S1D6,913.6
14,S1D7,913.6
14,S1D8,913.6
14,S1D9,952
14,S1D10,952
14,S1D11,977.6
14,S2D1,977.6
14,S2D2,955.2
14,S2D3,955.2
14,S2D4,913.6
14,S2D5,913.6
14,S2D6,900.8
14,S2D7,846.4
14,S2D8,846.4
14,S2D9,846.4
14,S2D10,846.4
14,S2D11,846.4
14,S2D12,846.4
14,S3D1,846.4
14,S3D2,840
14,S3D3,840
14,S3D4,840
14,S3D5,872
14,S3D6,872
14,S3D7,872
14,S3D8,897.6
14,S3D9,897.6
14,S3D10,920
14,S3D11,920
14,S3D12,968
14,S4D1,968
14,S4D2,948.8
14,S4D3,948.8
14,S4D4,948.8
14,S4D5,977.6
14,S4D6,977.6
14,S4D7,987.2
14,S4D8,987.2
14,S4D9,987.2
14,S4D10,964.8
14,S4D11,964.8
29,S1D1,1000
29,S1D2,1000
29,S1D3,1000
29,S1D4,1000
29,S1D5,1000
29,S1D6,1000
29,S1D7,1000
29,S1D8,942.4
29,S1D9,942.4
29,S1D10,942.4
29,S1D11,942.4
29,S2D1,942.4
29,S2D2,942.4
29,S2D3,942.4
29,S2D4,942.4
29,S2D5,942.4
29,S2D6,942.4
29,S2D7,942.4
29,S2D8,942.4
29,S2D9,942.4
29,S2D10,942.4
29,S2D11,942.4
29,S2D12,942.4
29,S3D1,942.4
29,S3D2,942.4
29,S3D3,942.4
29,S3D4,942.4
29,S3D5,942.4
29,S3D6,942.4
29,S3D7,942.4
29,S3D8,942.4
29,S3D9,942.4
29,S3D10,942.4
29,S3D11,942.4
29,S3D12,942.4
29,S4D1,942.4
29,S4D2,942.4
29,S4D3,942.4
29,S4D4,942.4
29,S4D5,942.4
29,S4D6,942.4
29,S4D7,942.4
29,S4D8,942.4
29,S4D9,942.4
29,S4D10,942.4
29,S4D11,942.4
10,S1D1,1000
10,S1D2,1000
10,S1D3,1000
10,S1D4,1000
10,S1D5,1000
10,S1D6,1000
10,S1D7,1000
10,S1D8,1000
10,S1D9,1000
10,S1D10,974.4
10,S1D11,974.4
10,S2D1,955.2
10,S2D2,936
10,S2D3,916.8
10,S2D4,916.8
10,S2D5,888
10,S2D6,865.6
10,S2D7,849.6
10,S2D8,849.6
10,S2D9,891.2
10,S2D10,926.4
10,S2D11,939.2
10,S2D12,1000
10,S3D1,974.4
10,S3D2,964.8
10,S3D3,964.8
10,S3D4,964.8
10,S3D5,1041.6
10,S3D6,974.4
10,S3D7,974.4
